날짜,시가,고가,저가,종가,거래량,등락률,SMA_20,SMA_60,EMA_20,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER,MACD,MACD_SIGNAL,MACD_HIST,STOCH_SLOWK,STOCH_SLOWD,OBV
2024-09-20,55100,57400,54400,56100,1186739,2.185792349726776,53985.0,54267.5,53541.91236870943,57.3663436773838,58896.73085581855,53985.0,49073.26914418145,354.93235284197,198.5026908011892,156.42966204078078,87.37398750258012,76.992149342761,362812459.0
2024-09-23,56100,56900,55300,56600,497979,0.8912655971479502,54235.0,54120.833333333336,53833.15880978473,58.513302530625424,59144.6944915137,54235.0,49325.3055084863,552.005578819626,269.20326840487655,282.8023104147494,87.27738314572362,86.5613548062873,363310438.0
2024-09-24,57000,57100,55400,56400,556154,-0.3533568904593639,54390.0,53920.833333333336,54077.619875519515,57.84296966272491,59367.10759377372,54390.0,49412.89240622628,684.1626011232656,352.19513494855437,331.96746617471126,83.03400933713242,85.89512666181214,362754284.0
2024-09-25,56900,57700,55200,55300,832696,-1.950354609929078,54505.0,53719.166666666664,54194.03703023194,54.16742687971534,59454.535331725594,54505.0,49555.464668274406,692.1584151660209,420.18779099204767,271.9706241739732,72.44699307367338,80.91946185217657,361921588.0
2024-09-26,55300,57000,55200,56500,550317,2.16998191681736,54615.0,53570.833333333336,54413.65255116223,57.35126036672905,59638.65404859849,54615.0,49591.34595140151,786.2615923771154,493.40255126906123,292.8590411080542,64.30588045494882,73.26229428858495,362471905.0
2024-09-27,56700,59400,56400,58500,1560977,3.5398230088495577,54790.0,53484.166666666664,54802.82849867059,62.07934623582981,60091.28286360952,54790.0,49488.71713639048,1010.573066347315,596.836654284712,413.736412062603,64.40940012368588,67.05409121743611,364032882.0
2024-09-30,58700,59100,57000,57100,631285,-2.393162393162393,54990.0,53475.833333333336,55021.60673689244,57.291379168714265,60322.879147327454,54990.0,49657.120852672546,1063.1182602972185,690.0929754872134,373.02528481000513,62.48196248196253,63.7324143535325,363401597.0
2024-10-02,56500,57800,55400,55700,607991,-2.4518388791593697,55005.0,53447.5,55086.215619093164,52.89772660833564,60344.09168304872,55005.0,49665.90831695128,980.4899278044395,748.1723659506586,232.31756185378094,45.23809523809529,57.37648594791465,362793606.0
2024-10-04,55600,56300,54600,55000,430153,-1.2567324955116697,54935.0,53424.166666666664,55078.004607750954,50.79997241439743,60235.669769000895,54935.0,49634.330230999105,848.7385000359718,768.2855927677213,80.45290726825056,21.825396825396876,43.18181818181831,362363453.0
2024-10-07,55200,58000,54800,57900,619163,5.2727272727272725,54965.0,53427.5,55346.766073679435,58.196311808332624,60325.32648259414,54965.0,49604.67351740586,967.1812446614131,808.0647231464596,159.11652151495343,29.66269841269846,32.242063492063615,362982616.0
