,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,영업이익변화율,비유동자산변화율,Relative Return,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,전체 주식 수변화율,특정 증권 등 소유 수변화율,Label,Code
8,KEPCO_KPS,건설,2022,Q3,-0.0424408793465767,-0.04276801189559487,0.1140835001411673,-0.08661481734255583,-0.0027048435867249587,0.06163477085245994,-0.035678237543502966,-0.14677668479772388,-0.03531013145747508,-0.04037859571311486,-0.010077302847450523,051600
8,LG_Household & Health Care,화학,2022,Q3,-0.01992953380016016,-0.020973534181824682,0.02780523801234991,0.13497987258462707,0.0021273808256374593,-0.04870396907913002,-0.03451360797659908,-0.029994979244729825,-0.024700966778062217,-0.029996544623110077,0.01950634879502465,051900
8,LG_Chem,화학,2022,Q3,-0.028431818300491907,-0.03406640283352225,0.05312916024608849,0.5526051854749796,-0.032787339513301816,0.1150822001854192,-0.04018378008586798,-0.08177277770214197,-0.051465940641018504,-0.0064620910265125175,0.1273836857763288,051910
8,LG_Electronics,전기·전자,2022,Q3,-0.003948625521051685,-0.0045677176558795995,0.03197376497143589,1.889492355023373,-0.017826283044284574,-0.10511347261481721,-0.02789274473139769,-0.024185706780803562,-0.02622613945325658,-0.023720163297362262,-0.028229936730421484,066570
8,Huchems,화학,2022,Q3,-0.041825903551654164,-0.05398262949771793,-0.22006057556892866,-0.1798258492646645,-0.05264258973278091,0.03767082206539796,-0.042455030644735325,-0.023758324783870854,-0.05024778662388152,-0.022829129831437367,0.024267560210283826,069260
8,Daewoong_Pharmaceutical,제약,2022,Q3,-0.02023931416857061,-0.04038056086288022,-0.026221121503641864,0.09717218703446373,-0.01780826014183856,0.22567136319093908,-0.025100173143963955,2.2054436742413586e-06,-0.02823114536104554,-0.045566945804191406,-0.023735554707949566,069620
8,Kumho_Tire,화학,2022,Q3,0.022138442648420575,-0.01488660902358041,-0.012468312465983677,-1.1979702911729277,-0.002242798086316,-0.006480480152240009,-0.1487649358858374,-0.17775346118529245,-0.01951933995255062,-0.17775346118529245,0.029385631961041415,073240
8,Able_C&C,화학,2022,Q3,-0.019935532027543834,0.05618497875217954,0.005502862963747246,-0.052890161052103535,0.07887919734432625,0.01726471607461455,0.03278615018542963,0.05363599973493427,0.034625424594840304,0.05363599973493427,-0.04305539345912891,078520
8,Huvepharma,화학,2022,Q3,0.040334570575809026,0.08117376389289543,0.10191585111754486,-0.5914244843190883,-0.01048573735959435,0.08681810027128611,-0.09265959408358526,-0.14722878670633177,-0.05727053661692172,-0.14722878670633133,-0.08394919366849389,079980
8,Hyundai_Glovis,운송·창고,2022,Q3,-0.038422106996926386,-0.04194918187433694,0.0006720373036068761,-0.06017734067980829,-0.011807206184249353,0.09823304367710034,-0.05829506829730202,0.10393578688949645,-0.05783026839442629,0.10372827945871843,-0.003542108642767633,086280
