,name,sector,year,quarter,Relative Return,이익잉여금 변화율,자본총계 변화율,실업률 변화율,환율 변화율,자기주식수 변화율,발행금액 변화율,전체 주주 수 변화율,특정 증권 등 소유 증감 수 변화율,증자주식수 변화율,Label,Code
18,Seoyon,기타금융,2020,Q1,-0.30292201168085775,0.8776911636085661,-0.00293991263772142,-0.00943396226415083,-0.015754379708652122,0.23980710543242967,0.12076185519335303,-0.017971669071563667,0.0,-5.391601127723107,0.2068543591745128,007860
18,Daeduck_Electronics,기타금융,2020,Q1,-0.11565555880142972,0.8434851047988197,0.6788506053988828,-0.00943396226415083,-0.015754379708652122,0.7596337641145221,0.6201816619799481,-0.0179552716184177,-0.0179552716184177,0.5889048665305081,-0.10727568675248741,008060
18,Seohung,화학,2020,Q1,0.026386867718648663,-0.029043548665669938,-0.022346798503309007,-0.00943396226415083,-0.015754379708652122,0.3865284557522757,0.0,-0.017977015167932153,0.0,0.0,0.17403100655420586,008490
18,Hotel_Shilla,유통,2020,Q1,-0.016113267804742676,0.10739300404596996,0.07540233193923762,-0.00943396226415083,-0.015754379708652122,0.331807211518269,0.0,-0.01792005283083742,-0.01792005283083742,0.0,-0.03951765976319008,008770
18,Hanssem,유통,2020,Q1,-0.03944656235267949,0.0075154586663818135,0.00871545778222782,-0.00943396226415083,-0.015754379708652122,0.3945579319969532,0.0,-0.017979536186947254,-0.017979536186947254,0.0,-0.00018997246677315838,009240
18,Kwang_Dong_Pharmaceutical,제약,2020,Q1,-0.08480499274646762,-0.013767819556752103,-0.00830031299742262,-0.00943396226415083,-0.015754379708652122,0.4169369906372621,0.0,-0.01797557405375505,0.0,0.0,0.049364381887581216,009290
18,Hyundai_Heavy_Industries,기타금융,2020,Q1,-0.05422703575722031,-0.0068900034709196145,-0.006648835905908035,-0.00943396226415083,-0.015754379708652122,-6.610118643963347,0.5415497373373848,-0.026887173347750704,-0.02761558786798579,0.4675925017574908,-0.18851938423147904,009540
18,Moorim_P&P,종이·목재,2020,Q1,-0.12813972585583677,0.021366186070879145,0.011696366992378082,-0.00943396226415083,-0.015754379708652122,0.17945304812143248,0.1794530481214326,-0.017974397364859174,0.0,0.17945304812143237,-0.11386571211174354,009580
18,Hanwha_Solutions,화학,2020,Q1,-0.015340707032181898,-0.04731838012884393,-0.0360911794041463,-0.00943396226415083,-0.015754379708652122,-0.01840509979763061,0.6025509344129379,-0.03429063411497646,-0.040696979424225344,0.1451825280055863,-0.09221231686967615,009830
18,OCI,기타금융,2020,Q1,-0.17364957037617235,0.03095278527692813,0.020535017407274925,-0.00943396226415083,-0.015754379708652122,-0.01793636946622379,-0.01793636946622379,-0.01793636946622379,-0.01793636946622379,-0.01793636946622379,-0.24996739344018007,010060
